elapsed_time,tag_id,tag_alias,rssi,arm_x,arm_y,arm_z,arm_roll,arm_pitch,arm_yaw,arm_qx,arm_qy,arm_qz,arm_qw
0.08115172386169434,E28068940000401929777475,pose-center,-73.9000015258789,0.8194460689627551,0.35608211015994573,0.32627246725654524,137.09494034078918,-4.70638606902307,111.77985309561632,-0.5339270065963275,-0.7615303460609635,-0.3239855968905293,-0.17328247650250658
0.3908846378326416,E28068940000401929777475,pose-center,-78.0,0.8194460689627551,0.35608211015994573,0.32627246725654524,137.09494034078918,-4.70638606902307,111.77985309561632,-0.5339270065963275,-0.7615303460609635,-0.3239855968905293,-0.17328247650250658
0.7017018795013428,E28068940000401929777475,pose-center,-71.0999984741211,0.8194458356760164,0.3560820257301851,0.32627091380740175,137.09505368354735,-4.706389784622228,111.7798437958857,-0.5339272489078799,-0.7615306155138499,-0.3239848461024406,-0.17328194944868583
1.0118112564086914,E28068940000401929777475,pose-center,-71.9000015258789,0.8194456576833431,0.35608196131212655,0.32627057312580654,137.0950838486242,-4.706390773489849,111.77984132085125,-0.5339273133966641,-0.7615306872259998,-0.323984646287414,-0.17328180917839098
1.2818551063537598,E28068940000401929777475,pose-center,-71.9000015258789,0.8194971227850146,0.35610058725821647,0.3252788191505084,129.02662467397738,-4.708484230723959,111.77459312170086,-0.5204534217583195,-0.7368218587604078,-0.37675674334564263,-0.21041896439365881
1.4814457893371582,E28068940000401929777475,pose-center,-78.0,0.8156391305465821,0.35516553809737034,0.31536855180354384,128.4888738756023,-4.989140425765752,112.30202800612877,-0.5169026397652124,-0.736759107892903,-0.38237621099944824,-0.2092513111125276
7.321230888366699,E28068940000500A8C53D4AE,120mm,-66.80000305175781,0.7563456890591758,-0.15689879822140584,0.2398708232985372,155.3379291555841,-24.06104236045377,91.80631641080498,0.6968558947849675,0.6552119851648602,0.2916990325801055,-0.0008892646378794092
7.841760635375977,E28068940000500A8C53D4AE,120mm,-64.30000305175781,0.7654965244675831,-0.18649111225857867,0.26853472346391105,150.66853100591692,-20.771643833988858,91.98121515827876,0.6939547329790502,0.6526822073536265,0.3002803568360491,0.04758646948858998
8.141287803649902,E28068940000500A8C53D4AE,120mm,-61.79999923706055,0.7726692177962634,-0.19248684463989613,0.2865234717001282,147.57845169203958,-18.739193241059688,92.7880627797718,0.6863481612833376,0.654687802570866,0.307271034187189,0.07677626076755675
8.351143836975098,E28068940000500A8C53D4AE,120mm,-60.79999923706055,0.7770425354433657,-0.19616476000697858,0.29873517186669674,144.7903386712647,-17.367988031979888,93.26690556570965,0.6801978655576412,0.6536275584939032,0.3161733602735898,0.10067911760357744
8.631780624389648,E28068940000500A8C53D4AE,120mm,-59.900001525878906,0.7829968133127443,-0.20119385409315416,0.3174346125585257,140.79627493048545,-15.284566537714063,93.90549796821568,0.6699347336905175,0.6518699163896063,0.32850651305089895,0.13541246465655485
8.861185073852539,E28068940000500A8C53D4AE,120mm,-58.29999923706055,0.7870861447617788,-0.2046504965083472,0.3321711803914082,138.35932184791028,-13.656136291322166,94.33683969509654,0.6619347010285984,0.6518759967941998,0.3343631876316217,0.158434198122027
9.122355461120605,E28068940000401929777475,pose-center,-66.80000305175781,0.7910743884086142,-0.2080821459836088,0.3492057272546123,136.570618943497,-11.775662926486039,94.76984679444826,0.6536356375303825,0.6543925393649637,0.33536858870269415,0.17904962296885207
9.352204322814941,E28068940000401929777475,pose-center,-68.4000015258789,0.7935950146911901,-0.2102988564052911,0.362096595226206,135.80649992230974,-10.352149630511976,95.05293478645403,0.6481326952593636,0.6577106023591051,0.3327731140731455,0.19131865416189184
9.561229705810547,E28068940000401929777475,pose-center,-68.4000015258789,0.7958876588582277,-0.21226164841325712,0.37517121062120523,134.96320852869104,-8.925054249485344,95.29486370274917,0.6424612703039912,0.6605238628513778,0.33059071902224185,0.20411153632176954
9.781142234802246,E28068940000500A8C53D4AE,120mm,-53.900001525878906,0.7985009068709523,-0.2144744892183501,0.39328665855112616,133.3504965233794,-6.960135121205527,95.56700153773785,0.6336825746256496,0.6626815077709829,0.3301524238018276,0.22427436530277778
10.051545143127441,E28068940000401929777475,pose-center,-66.80000305175781,0.8013537013836158,-0.21346088082316256,0.39902094535677557,131.67000963063128,-6.077895627405234,95.68687544319174,0.6275725715403794,0.6608356957629761,0.33550497096549836,0.23850632090806007
10.271147727966309,E28068940000500A8C53D4AE,120mm,-52.29999923706055,0.8105145536256672,-0.20687305962800823,0.39589805897306807,129.4853402471479,-5.970999101524053,95.44948368174784,0.6240016059035949,0.6533279817392653,0.3469711531478871,0.2517847552761256
10.493382453918457,E28068940000500A8C53D4AE,120mm,-52.29999923706055,0.8174511791276815,-0.1942598215622353,0.39442072702222786,126.77724494897403,-5.9806464044464205,95.91372485320846,0.6152850153351296,0.6474162392666831,0.36343806452589,0.26493270143851727
10.70310115814209,E28068940000500A8C53D4AE,120mm,-52.29999923706055,0.8288664896843417,-0.18350658861472086,0.3918414698722279,124.49799633497827,-5.9865158532378375,95.79122329562182,0.6105940712973501,0.6393897165152062,0.3759755284404504,0.27748526541972435
10.90107536315918,E28068940000401929777475,pose-center,-64.30000305175781,0.8398148558983506,-0.1748150915643355,0.3909598845104022,122.76613051306401,-5.992079629449067,95.6383822220055,0.6071910673124644,0.6328081253829587,0.3852405268082416,0.28716305599739617
11.101277351379395,E28068940000401929777475,pose-center,-65.9000015258789,0.8491143740325743,-0.16468354856798476,0.3900186843087556,121.64794645199571,-5.858230961431631,95.71643168043992,0.6035452119123016,0.6298510055903568,0.3909349992769995,0.2935825510394713
